budget_pct,budget,greedy_value,knapsack_value,value_gap,value_gap_pct,greedy_budget_utilization_pct,knapsack_budget_utilization_pct,missed_high_priority_items
10,5848,5.2072,5.4086,0.2014,3.87,98.7,96.32,1
15,8772,5.5133,6.8307,1.3174,23.89,94.8,98.61,2
20,11696,6.3832,8.3764,1.9932,31.23,99.17,99.39,2
25,14620,7.1618,9.2229,2.0611,28.78,99.95,96.59,2
30,17543,7.9246,10.312,2.3874,30.13,97.61,98.64,2
35,20467,9.4363,11.2297,1.7934,19.01,97.86,99.85,1
40,23391,11.4288,11.9924,0.5636,4.93,99.68,97.97,0
45,26315,12.473,12.771,0.298,2.39,99.35,98.54,0
50,29239,12.7851,13.5461,0.761,5.95,98.49,99.85,0
55,32163,13.424,14.2722,0.8482,6.32,98.89,99.9,0
60,35087,14.0576,14.9088,0.8512,6.06,99.42,99.09,0
