run,medicine_count,budget,greedy_cost,greedy_value,knapsack_cost,knapsack_value,improvement_pct,greedy_budget_utilization_pct,knapsack_budget_utilization_pct,missed_high_priority_items
1,45,22415,22268,12.1742,21965,14.8158,21.7,99.34,97.99,2
2,22,17275,17022,6.732,17002,8.5349,26.78,98.54,98.42,2
3,48,28832,28677,15.6291,28742,17.5048,12.0,99.46,99.69,1
4,28,15002,14958,7.722,14904,8.603,11.41,99.71,99.35,1
5,34,15237,15174,7.8072,15232,8.7663,12.28,99.59,99.97,1
6,42,19606,19337,8.6027,19418,11.1487,29.6,98.63,99.04,3
7,45,31594,31507,15.1466,31553,17.3668,14.66,99.72,99.87,0
8,33,25264,25200,9.5692,25094,13.0102,35.96,99.75,99.33,1
9,38,29795,29527,11.2621,29726,13.8066,22.59,99.1,99.77,0
10,30,19578,19002,11.4684,19255,12.4991,8.99,97.06,98.35,0
11,34,21103,21022,8.6999,21000,12.4698,43.33,99.62,99.51,4
12,28,13601,13290,7.5744,13473,9.255,22.19,97.71,99.06,0
13,37,21746,21336,9.6441,21696,11.1403,15.51,98.11,99.77,0
14,29,16566,16355,8.0372,16410,9.3821,16.73,98.73,99.06,0
15,45,31455,31120,14.2124,31222,16.5239,16.26,98.93,99.26,0
16,29,11465,11253,5.5628,11223,8.0873,45.38,98.15,97.89,4
17,26,21572,21305,8.6529,21536,9.2146,6.49,98.76,99.83,0
18,29,17774,17268,8.4737,17708,11.082,30.78,97.15,99.63,4
19,36,26400,26345,11.3477,26309,12.3981,9.26,99.79,99.66,0
20,32,18210,18120,8.4218,18016,9.795,16.31,99.51,98.93,0
21,48,35162,35009,13.9623,35136,16.6717,19.41,99.56,99.93,2
22,24,11141,11014,5.3545,11139,7.9009,47.56,98.86,99.98,4
23,38,22128,21974,10.3083,22033,12.8866,25.01,99.3,99.57,1
24,42,29941,29692,15.0703,29893,15.6101,3.58,99.17,99.84,0
25,49,25686,25649,14.0678,25672,15.9892,13.66,99.86,99.95,3
